name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Boston, MA, United States",2025-06-09,15.0,13.4,14.4,15.0,13.4,14.4,12.9,91.3,0.297,100,8.33,rain,0,0,29.5,25.7,65.0,1015.3,98.4,7.2,523.8,45.3,8,10,2025-06-09T05:07:24,2025-06-09T20:20:09,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,KBED,0518W,KBOS"
"Boston, MA, United States",2025-06-10,15.7,13.4,14.1,15.7,13.4,14.1,13.7,97.5,3.763,100,20.83,rain,0,0,20.5,14.6,70.5,1012.2,100.0,5.6,572.7,49.6,8,10,2025-06-10T05:07:14,2025-06-10T20:20:42,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,KBED,0518W,KBOS"
"Boston, MA, United States",2025-06-11,27.8,15.7,22.0,27.5,15.7,22.0,13.6,61.9,0.0,0,0.0,,0,0,53.3,35.0,246.1,1014.8,32.5,15.7,505.8,43.6,8,10,2025-06-11T05:07:06,2025-06-11T20:21:13,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
"Boston, MA, United States",2025-06-12,25.6,20.0,22.6,25.6,20.0,22.6,13.3,56.9,0.0,9,0.0,,0,0,42.5,27.7,264.7,1014.5,10.8,16.2,348.6,30.0,9,10,2025-06-12T05:07:00,2025-06-12T20:21:42,0.55,Clear,Clear conditions throughout the day.,clear-day,
"Boston, MA, United States",2025-06-13,20.6,17.8,19.3,20.6,17.8,19.3,11.0,58.8,0.0,15,0.0,rain,0,0,25.9,14.8,70.5,1020.8,41.3,16.3,341.6,29.4,8,10,2025-06-13T05:06:57,2025-06-13T20:22:10,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Boston, MA, United States",2025-06-14,18.1,15.0,16.2,18.1,15.0,16.2,11.5,73.9,0.2,52,4.17,rain,0,0,25.2,15.1,86.2,1020.1,84.5,10.6,18.3,1.7,1,10,2025-06-14T05:06:55,2025-06-14T20:22:36,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
"Boston, MA, United States",2025-06-15,16.1,14.3,15.2,16.1,14.3,15.2,11.4,78.4,2.8,32,4.17,rain,0,0,22.7,13.7,51.7,1017.7,76.2,23.6,83.4,7.1,2,10,2025-06-15T05:06:56,2025-06-15T20:23:00,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Boston, MA, United States",2025-06-16,17.8,13.9,16.1,17.8,13.9,16.1,11.8,76.1,3.0,24,8.33,rain,0,0,22.7,14.4,81.8,1021.0,62.1,24.1,359.7,31.1,8,10,2025-06-16T05:06:58,2025-06-16T20:23:22,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
